Concepts,Neg,Pos,AnxFear,Anger,Sadness,NegUndiff
afraid,X,,X,,,
aggravat*,X,,,X,,
agitat*,X,,,,,
agony,X,,,,,
alarm*,X,,X,,,
alone,X,,,,X,
anger|angr*,X,,,X,,
anguish*,X,,,,X,
annoy*,X,,,X,,
anxi*,X,,X,,,
apath*,X,,,,X,
appall*,X,,X,X,,
apprehens*,X,,X,,,
asham*,X,,,,,
ashame*,X,,,,,
aversi*,X,,,,,
bitter,X,,,,X,
contempt,X,,,X,,
crushed,X,,,,X,
depress*,X,,,,X,
despair,X,,,,X,
desperate*,X,,,,,
despis*,X,,,X,,
devastat*,X,,,,X,
disappoint*,X,,,,X,
discourage*,X,,,,X,
disgust,X,,,,,
dishearten*,X,,,,X,
disillusion*,X,,,,X,
dislike|disliked|dislikes|disliking,X,,,,,
dismay*,X,,,,X,
dissatisf*,X,,,,X,
distraught,X,,,,,
disturb*,X,,,,,
doom,X,,X,,X,
dread*,X,,X,,,
embarrass*,X,,,,,
envy|envie*|envious,X,,,,,
fear|feared|fearful|fearing|fears,X,,X,,,
frantic,X,,X,,,
fright,X,,X,,,
frustrat*,X,,,X,,
fury|furious,X,,,X,,
gloom,X,,,,X,
grief|griev*,X,,,,X,
guilt*,X,,,,,
hate|hated|hateful|hater|hates|hating|hatred,X,,,X,,
heartbreak*|heartbroke*,X,,,,X,
helpless,X,,,,X,
homesick,X,,,,X,
hopeless,X,,,,X,
horror*|horrif*,X,,X,,,
hostil*,X,,,X,,
humiliat*,X,,,,,
hurt,X,,,,,
insecur*,X,,,,,
intimidat*,X,,,,,
irrita*,X,,,X,,
jealous*,X,,,,,
lone*,X,,,,X,
longing,X,,,,X,
loss,X,,,,X,
mad|maddening|madder|maddest,X,,,X,,
melanchol*,X,,,,X,
miss,X,,,,X,
mourn,X,,,,X,
nervous,X,,X,,,
offend|offence|offens*,X,,,X,,
outrag*,X,,,X,,
panic,X,,X,,,
paranoi*,X,,X,,,
petrif*,X,,X,,,
phobi*,X,,X,,,
pity,X,,,,,
rage,X,,,X,,
regret*,X,,,,X,
reluctan*,X,,,,,
remorse*,X,,,,X,
resent*,X,,,X,,
restless,X,,,,,
sad|sadde*|sadly|sadness,X,,,,X,
scared|scare|scaring|scary,X,,X,,,
shock*,X,,,,,
solemn*,X,,,,X,
sorrow,X,,,,X,
startl*,X,,X,,,
stunned,X,,,,,
terror|terrifies|terrified|terrify*,X,,X,,,
turmoil,X,,,,,
unhapp*,X,,,,X,
unlov*,X,,,,X,
woe*,X,,,,X,
worr*,X,,X,,,
yearn*,X,,,,X,
awful,,,,,,X
bad,,,,,,X
crap|crappy*,,,,,,X
craz*,,,,,,X
distress*,,,,,,X
emotional,,,,,,X
horribl*,,,,,,X
numb|numbed|numbs|numbing|numbly|numbness*,,,,,,X
overwhelm*,,,,,,X
rotten,,,,,,X
stress*,,,,,,X
sucky,,,,,,X
terribl*,,,,,,X
unpleasant,,,,,,X
upset*,,,,,,X
admir*,,X,,,,
ador*,,X,,,,
affection*,,X,,,,
amor*,,X,,,,
amus*,,X,,,,
appreciat*,,X,,,,
cheer|cheery|cheeriness*|cheerily|cheerful*,,X,,,,
cherish*,,X,,,,
compassion*,,X,,,,
confident*|confidence,,X,,,,
content|contented*|contentment,,X,,,,
curious*,,X,,,,
delight*,,X,,,,
eager*,,X,,,,
ecsta*,,X,,,,
elated*|elation,,X,,,,
enjoy*,,X,,,,
enraptur*,,X,,,,
entertain*,,X,,,,
enthrall*,,X,,,,
enthus*,,X,,,,
euphori*,,X,,,,
excit*,,X,,,,
exhil*,,X,,,,
fond|fondly|fondness*,,X,,,,
glad|gladly|gladness*,,X,,,,
glee|gleeful*,,X,,,,
gratef*|gratitude*,,X,,,,
happy|happi*,,X,,,,
hope|hopeful*|hopefulness,,X,,,,
inspired*,,X,,,,
interest*,,X,,,,
joll*,,X,,,,
joy*,,X,,,,
keen*,,X,,,,
love|loved|loves|loving*,,X,,,,
merr*,,X,,,,
optimis*,,X,,,,
passion*,,X,,,,
peace*,,X,,,,
pleased|pleasant*|pleasur*,,X,,,,
proud*|pride*,,X,,,,
relief|reliev*,,X,,,,
resolv*,,X,,,,
satisf*,,X,,,,
secur*,,X,,,,
serene|serenit*,,X,,,,
surpris*,,X,,,,
thankf*,,X,,,,
thrill*,,X,,,,
tranquil*,,X,,,,
triumph*,,X,,,,
vigor|revigor*|invigor*|vigour,,X,,,,
